Input1,Input2,Input3,Input4,Output1,Output2,normalisedKPI_1,normalisedKPI_2,normalised_threshold_1,normalised_threshold_2
-23.617361736173617,-20.0,-2.0852085208520856,-2.0852085208520856,2.481892381450662,0.116139452254228,-0.5465818638301104,-0.609806580757178,1.372534185984296,1.0814299669333853
-23.597359735973598,-20.0,-2.07920792079208,-2.07920792079208,2.4908935716930483,0.11671230297570079,-0.5463436567225497,-0.6097944528245783,1.372534185984296,1.0814299669333853
-23.577357735773575,-20.0,-2.073207320732074,-2.073207320732074,2.4999231812363276,0.11728778099203842,-0.5461046975278446,-0.6097822692690146,1.372534185984296,1.0814299669333853
-23.557355735573555,-20.0,-2.0672067206720675,-2.0672067206720675,2.5089812825203435,0.11786589730744916,-0.5458649843289504,-0.6097700298575148,1.372534185984296,1.0814299669333853
-23.537353735373536,-20.0,-2.061206120612062,-2.061206120612062,2.5180679481027433,0.11844666296697867,-0.5456245152057045,-0.609757734356242,1.372534185984296,1.0814299669333853
-23.517351735173516,-20.0,-2.0552055205520556,-2.0552055205520556,2.5271832506588954,0.11903008905663726,-0.5453832882348294,-0.6097453825304923,1.372534185984296,1.0814299669333853
-23.497349734973497,-20.0,-2.04920492049205,-2.04920492049205,2.536327262981833,0.11961618670352597,-0.5451413014899331,-0.6097329741446915,1.372534185984296,1.0814299669333853
-23.477347734773478,-20.0,-2.043204320432044,-2.043204320432044,2.5455000579821863,0.12020496707596329,-0.544898553041512,-0.609720508962393,1.372534185984296,1.0814299669333853
-23.457345734573455,-20.0,-2.0372037203720375,-2.0372037203720375,2.5547017086881167,0.1207964413836141,-0.544655040956952,-0.609707986746275,1.372534185984296,1.0814299669333853
-23.437343734373435,-20.0,-2.031203120312032,-2.031203120312032,2.5639322882452222,0.12139062087761393,-0.5444107633005312,-0.6096954072581375,1.372534185984296,1.0814299669333853
-23.417341734173416,-20.0,-2.0252025202520256,-2.0252025202520256,2.5731918699165086,0.12198751685070011,-0.5441657181334206,-0.6096827702588997,1.372534185984296,1.0814299669333853
-23.397339733973396,-20.0,-2.01920192019202,-2.01920192019202,2.5824805270822915,0.1225871406373385,-0.5439199035136867,-0.6096700755085975,1.372534185984296,1.0814299669333853
-23.377337733773377,-20.0,-2.013201320132014,-2.013201320132014,2.591798333240126,0.12318950361385152,-0.5436733174962933,-0.6096573227663806,1.372534185984296,1.0814299669333853
-23.357335733573358,-20.0,-2.0072007200720074,-2.0072007200720074,2.601145362004723,0.12379461719854633,-0.5434259581331041,-0.6096445117905099,1.372534185984296,1.0814299669333853
-23.337333733373335,-20.0,-2.001200120012002,-2.001200120012002,2.6105216871079016,0.12440249285184629,-0.5431778234728832,-0.6096316423383544,1.372534185984296,1.0814299669333853
-23.317331733173315,-20.0,-1.9951995199519956,-1.9951995199519956,2.6199273823984783,0.1250131420764171,-0.5429289115612989,-0.6096187141663892,1.372534185984296,1.0814299669333853
