Input1,Input2,Output
-93.15931593159316,-7.947794779477948,1.1720446823814119e-28
-93.13931393139313,-7.941794179417942,1.0881096017126723e-28
-93.11931193119312,-7.935793579357936,1.0100312908154985e-28
-93.0993099309931,-7.92979297929793,9.374120590795295e-29
-93.07930793079308,-7.9237923792379235,8.698804582948945e-29
-93.05930593059306,-7.917791779177918,8.070896024481296e-29
-93.03930393039303,-7.9117911791179125,7.487155917181141e-29
-93.01930193019302,-7.905790579057905,6.94456034424973e-29
-92.999299929993,-7.8997899789979,6.440286610462852e-29
-92.97929792979298,-7.893789378937894,5.971700247558685e-29
-92.95929592959295,-7.887788778877888,5.536342832629957e-29
-92.93929392939293,-7.881788178817882,5.131920570334559e-29
-92.91929192919292,-7.875787578757876,4.756293592613085e-29
-92.8992899289929,-7.86978697869787,4.4074659323086787e-29
-92.87928792879288,-7.8637863786378635,4.083576129644388e-29
-92.85928592859285,-7.857785778577858,3.782888432922921e-29
-92.83928392839285,-7.8517851785178525,3.503784557091535e-29
-92.81928192819282,-7.845784578457845,3.2447559659608693e-29
-92.7992799279928,-7.83978397839784,3.0043966458924225e-29
-92.77927792779278,-7.833783378337834,2.7813963406769214e-29
-92.75927592759275,-7.827782778277828,2.5745342191299037e-29
-92.73927392739274,-7.821782178217822,2.3826729486238007e-29
-92.71927192719272,-7.815781578157816,2.204753149379529e-29
-92.6992699269927,-7.80978097809781,2.039788205845147e-29
-92.67926792679268,-7.8037803780378034,1.8868594129135927e-29
-92.65926592659265,-7.797779777977798,1.7451114360673815e-29
-92.63926392639264,-7.7917791779177925,1.6137480657995626e-29
-92.61926192619262,-7.785778577857785,1.4920282478508337e-29
-92.5992599259926,-7.77977797779778,1.3792623719172642e-29
-92.57925792579258,-7.773777377737774,1.2748088025397874e-29
-92.55925592559257,-7.767776777677768,1.1780706368770019e-29
-92.53925392539254,-7.761776177617762,1.0884926749964063e-29
-92.51925192519252,-7.755775577557756,1.0055585891973758e-29
-92.4992499249925,-7.74977497749775,9.287882797077054e-30
-92.47924792479247,-7.743774377437743,8.577354048715249e-30
-92.45924592459247,-7.737773777377738,7.919850746794027e-30
-92.43924392439244,-7.7317731773177325,7.311516971798301e-30
-92.41924192419242,-7.725772577257725,6.748769679583229e-30
-92.3992399239924,-7.71977197719772,6.228279934797098e-30
-92.37923792379237,-7.713771377137714,5.746955396607906e-30
-92.35923592359237,-7.707770777077708,5.3019239757971025e-30
-92.33923392339234,-7.701770177017702,4.890518587331406e-30
-92.31923192319232,-7.695769576957696,4.5102629272798434e-30
-92.2992299229923,-7.68976897689769,4.1588582074112704e-30
-92.27922792279227,-7.683768376837683,3.834170784997604e-30
-92.25922592259226,-7.677767776777678,3.534220629292709e-30
-92.23922392239224,-7.6717671767176725,3.257170569854266e-30
-92.21922192219222,-7.665766576657666,3.0013162753530006e-30
-92.1992199219922,-7.65976597659766,2.765076914776067e-30
-92.17921792179217,-7.653765376537654,2.5469864559914053e-30
-92.15921592159216,-7.647764776477648,2.345685559517283e-30
-92.13921392139214,-7.641764176417642,2.1599140280365434e-30
-92.11921192119212,-7.635763576357636,1.9885037747256116e-30
-92.0992099209921,-7.62976297629763,1.8303722758434295e-30
-92.07920792079207,-7.623762376237623,1.684516475251943e-30
-92.05920592059206,-7.617761776177618,1.5500071106264036e-30
-92.03920392039204,-7.6117611761176125,1.425983433073786e-30
-92.01920192019202,-7.605760576057606,1.3116482937120668e-30
-91.999199919992,-7.5997599759976,1.2062635724837524e-30
-91.97919791979197,-7.593759375937594,1.1091459260892821e-30
-91.95919591959196,-7.587758775877588,1.0196628334375283e-30
-91.93919391939194,-7.581758175817582,9.37228918425775e-31
-91.91919191919192,-7.575757575757576,8.613025311864547e-31
-91.8991899189919,-7.56975697569757,7.91382570182074e-31
-91.87918791879187,-7.563756375637563,7.270055286901531e-31
-91.85918591859186,-7.557755775577558,6.677427503102149e-31
-91.83918391839184,-7.5517551755175525,6.131978791434583e-31
-91.81918191819182,-7.545754575457546,5.630044912493885e-31
-91.7991799179918,-7.53975397539754,5.168238948770341e-31
-91.77917791779178,-7.533753375337534,4.7434308780216445e-31
-91.75917591759176,-7.527752775277528,4.352728608845113e-31
-91.73917391739174,-7.521752175217522,3.993460376885151e-31
-91.71917191719172,-7.515751575157516,3.6631584069507254e-31
-91.69916991699169,-7.50975097509751,3.3595437527016706e-31
-91.67916791679168,-7.503750375037503,3.0805122315372354e-31
-91.65916591659166,-7.497749774977498,2.824121377898836e-31
-91.63916391639164,-7.4917491749174925,2.5885783434159396e-31
-91.61916191619162,-7.485748574857486,2.372228677199976e-31
-91.5991599159916,-7.47974797479748,2.173545924137907e-31
-91.57915791579158,-7.473747374737474,1.991121983294169e-31
-91.55915591559156,-7.467746774677468,1.8236581724968708e-31
-91.53915391539154,-7.461746174617462,1.6699569488938202e-31
-91.51915191519151,-7.455745574557456,1.5289142387228564e-31
-91.4991499149915,-7.44974497449745,1.3995123327711312e-31
-91.47914791479148,-7.443744374437443,1.280813307013734e-31
-91.45914591459146,-7.437743774377438,1.171952930731783e-31
-91.43914391439144,-7.4317431743174325,1.0721350270354596e-31
-91.41914191419141,-7.425742574257426,9.80626253163486e-32
-91.3991399139914,-7.41974197419742,8.967512702114557e-32
-91.37913791379138,-7.413741374137414,8.198882740699408e-32
-91.35913591359136,-7.407740774077408,7.494648613345454e-32
-91.33913391339134,-7.401740174017402,6.849542058000313e-32
-91.31913191319131,-7.395739573957396,6.258715228707518e-32
-91.2991299129913,-7.38973897389739,5.717708008253686e-32
-91.27912791279128,-7.383738373837383,5.222417793677425e-32
-91.25912591259126,-7.377737773777378,4.7690715728740305e-32
-91.23912391239124,-7.3717371737173725,4.3542001234962963e-32
